,experiment,num,entropy
200,uniform_biased_RRT_biased_off_center_disconnected,98,-0.5145886622916519
201,uniform_biased_RRT_biased_off_center_disconnected,99,-0.382788934746077
202,uniform_biased_RRT_biased_off_center_disconnected_filter,-1,-0.30266180741668797
203,uniform_biased_RRT_biased_off_center_disconnected_filter,0,-0.34477062594189195
204,uniform_biased_RRT_biased_off_center_disconnected_filter,1,-0.4048924202359863
205,uniform_biased_RRT_biased_off_center_disconnected_filter,10,inf
206,uniform_biased_RRT_biased_off_center_disconnected_filter,11,-0.28924299119065594
207,uniform_biased_RRT_biased_off_center_disconnected_filter,12,-0.3571908479835937
208,uniform_biased_RRT_biased_off_center_disconnected_filter,13,-0.19388470023433033
209,uniform_biased_RRT_biased_off_center_disconnected_filter,14,-0.406929627493125
210,uniform_biased_RRT_biased_off_center_disconnected_filter,15,inf
211,uniform_biased_RRT_biased_off_center_disconnected_filter,16,-0.23855086516994983
212,uniform_biased_RRT_biased_off_center_disconnected_filter,17,-0.4252407676065312
213,uniform_biased_RRT_biased_off_center_disconnected_filter,18,-0.3704423327288711
214,uniform_biased_RRT_biased_off_center_disconnected_filter,19,-0.28116808027141343
215,uniform_biased_RRT_biased_off_center_disconnected_filter,2,-0.25127309801276226
216,uniform_biased_RRT_biased_off_center_disconnected_filter,20,inf
217,uniform_biased_RRT_biased_off_center_disconnected_filter,21,-0.3783258257909383
218,uniform_biased_RRT_biased_off_center_disconnected_filter,22,-0.35694403451835705
219,uniform_biased_RRT_biased_off_center_disconnected_filter,23,inf
220,uniform_biased_RRT_biased_off_center_disconnected_filter,24,-0.3281121086081182
221,uniform_biased_RRT_biased_off_center_disconnected_filter,25,-0.4389752758378489
222,uniform_biased_RRT_biased_off_center_disconnected_filter,26,-0.3550615078622277
223,uniform_biased_RRT_biased_off_center_disconnected_filter,27,-0.35602257252741715
224,uniform_biased_RRT_biased_off_center_disconnected_filter,28,-0.35703421345655767
225,uniform_biased_RRT_biased_off_center_disconnected_filter,29,-0.3248599888088399
226,uniform_biased_RRT_biased_off_center_disconnected_filter,3,-0.2461355074157506
227,uniform_biased_RRT_biased_off_center_disconnected_filter,30,-0.16264577575038058
228,uniform_biased_RRT_biased_off_center_disconnected_filter,31,-0.1614562129044082
229,uniform_biased_RRT_biased_off_center_disconnected_filter,32,-0.2633508488878632
230,uniform_biased_RRT_biased_off_center_disconnected_filter,33,-0.45859706022661656
231,uniform_biased_RRT_biased_off_center_disconnected_filter,34,-0.6145247984145339
232,uniform_biased_RRT_biased_off_center_disconnected_filter,35,-0.38203245715346207
233,uniform_biased_RRT_biased_off_center_disconnected_filter,36,-0.3648888358467256
234,uniform_biased_RRT_biased_off_center_disconnected_filter,37,-0.2645000428497221
